story,action_code1,action_code2,action_code3
العميل حاصل علي بطاقة ائتمانية,26,25,
تم اتخاذ الاجراءات القانونيه ضد الع:ميل,,,
تم اعدام المديونية للعميل وفقا لقرا:ر مجلس الادارة رقم 092020 بتاريخ 2:5112020 مع عدم ابراء ذمة العميل و:عدم اصدار اى مخالصات او شهادات للعم:يل,41,,
سداد تجاوز الجارى مدين,41,,
عدم السحب الا بقرار من النيابه الحس:بيه,1,32,
عدم الصرف تمويل عقاري,1,32,
لا يتم الصرف الا بالرجوع الى فرع ال:سواقى,1,32,
للعميل بريد  مرتد,,,
للعميل بريد مرتد :مطلوب تحديث بيانا:ت العميل,88,,
مطلوب تحديث البيانات:Major customer: now:Major customer now:Major custo:mer now:Major customer now,88,8,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميل للعميل بريد مرتد,88,,
وفاة العميل:مطلوب تحديث بيانات العم:يل,88,12,
اخطار بوفاه العميل من خلال بيانات ا:لشركو المصريه للاستعلام الائتمانى I:score,12,,
التوجه الى خدمة العملاء لتحديث البي:انات :مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
العميل متخذ ضده إجراءات قضائيه,10,,
العميل متخذ ضده اجراءات قضائيه,10,,
العميل مطلوب لقسم خدمة العملاء لتحد:يث بياناته.:مطلوب تحديث بيانات العم:يل,88,,
العميل مطلوب للتحديث.:مطلوب تحديث ب:يانات العميل:مطلوب تحديث بيانات الع:ميل:مطلوب تحديث بيانات العميل,88,,
تم اعدام المديونية المستحقة على ال:عميل والكفيل محاسبيا مع الاستمرار ا:لقانونية المتخذه وفقا لقرار مجلس ال:ادارة بتاريخ 31102022,10,41,
عدم السحب قرض تمويل عقارى,1,32,
للعميل بريد مرتد0:مطلوب تحديث بيانا:ت العميل,88,,
مطلوب التحديث:مطلوب تحديث بيانات ال:عميلللعميل بريد مرتد,88,,
مطلوب تحديث بيانات العميلاخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,88,12,
مطلوب تحديث بيانات العميلمرتد 122013,88,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى I:scoure,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصريه للاستعلام الائتمانى I: score,12,,
اخطار بوفاة عميل طبقا للبيان الوارد: من الشركة المصريه للاستعلام الائتم:انى iscor,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام Iscore,12,,
تم إعدام المديونية المستحقة على ا:لعميل محاسبيا مع الأستمرار فى الأجر:اءات القانونية المتخذة وفقا لقرار م:جلس الادارة بتاريخ 12012023,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيهوفقا لقرار مجلس الاداره بتاريخ 250:82021,10,41,
تم فتح محفظه قاهرة كاش تجار في حاله: رغبه العميل فتح حساب يتم استيفاء ن:موذج 1 ح ج,30,,
لا يتم السحب الا بقرار النيابه الحس:بيه,1,32,
مطلوب تحديث بيانات العميل بطاقة الر:قم القومى,88,,
مطلوب خدمة عملاء تحديث بيانات,88,,
اخطار بوفاة العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتماني,12,,
اخطاره بوفاه العميل من خلال بيانات :الشركه المصريه للاستعلام الائتمانى :ISCORE,12,,
العميل حاصل علي بطاقه ائتمانيه مضمن:ه 5000 جم,26,25,
تم اتخاذ اجراءات قضائية ضد العميل,10,,
تم اتخاذ الإجراءات القضائية ضد العم:يل,10,,
عدم السحب نهائيا حساب خاص بالتمويل :العقارى,1,32,
مطلوب تحديث بيانات العميلمرتد32014,88,,
ISCORE اخطار بوفاه العميل من خلال :بيانات الشركه المصريه للاستعلام الا:ئتماني,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني I:Score,12,,
العميل متوفى طبقا لاخطار شركة الايس:كور,12,,
تم اعدام المديونية محاسبيا مع الاست:مرار فى الاجراءات القانونية بقرار م: ادارة ت 31102023 عدم طباعة كشوف :حساب للعميل او الكفيل ولا يتم اصدار: مخالصات او ابراء ذمة لهذه ا,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار مجل:س الاداره بتاريخ 31102022,10,41,
عدم اصدار كشوف حساب اومخالصات او شه:ادات ابراء زمه اوالتناذل عن الاجراء:ات القضائه الابعد الرجوع للادهاره ا:لعامه للتحصيل ومعالجه الديون التجزي:ه,10,,
مطلوب للتحديث:مطلوب تحديث بيانات ال:عميلللعميل بريد مرتد,88,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمان is:core,12,,
الرجوع لقسم المراجعه لاستلام كشوف ا:لحساب:مطلوب تحديث بيانات العميل,88,,
العميل متوفى و تم الإبلاغ عن طريق ا:لايسكور,12,,
بطاقة ائتمانية ب 3000جم بضمان تحويل: الراتب,26,25,
عدم اصدار كشوف حساب نهائيا او مخالص:ات او شهادات ابراء ذمه او التنازل ع:ن الأجرات القضائيه الا بعد الرجوع ل:اداره التحصيل و معالجه ديون التجزئه: المصرفيه عميل محظور ا,10,,
عدم السحب منتج تمويل عقارى,1,32,
مطلوب تحديث بيانات العميلللعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل:مطلوب تحديث بيانات العميل,88,,
الرجوع للقروض الصغيرة,,,
العميل مطلوب لتحديث البيانات:مطلوب :تحديث بيانات العميل:مطلوب تحديث بيا:نات العميل:مطلوب تحديث بيانات العمي:ل,88,,
العميل مطلوب للتحديث:مطلوب تحديث بي:انات العميل:مطلوب تحديث بيانات العم:يل,88,,
عدم السحب الا بعد سداد التجاوز,1,32,
عدم السحب حساب تمويل عقاري,1,32,
عدم السحب مقدم التمويل العقارى,1,32,
عدم رفع الايقاف على البطاقة وعدم اص:دار اي بطاقة من اي منتج  او تنشيط ا:و اعادة اصدار بطاقة بدل فاقد بدل ت:الف لبطاقة  الخصم  الائتمان  الا: بعد الرجوع الى ادارة مخاطر,1,6,10
كشف حساب مرتد:مطلوب تحديث بيانات ال:عميل,88,,
مطلوب تحديث بيانات العميلبريد مرتد122013,88,,
مطلوب تحديث بيانات العميلللعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل,88,,
مطلوب تحديثة:مطلوب تحديث بيانات العميل,88,,
مطلوب للتحديث :مطلوب تحديث بيانات ا:لعميل,88,,
وفاة العميل طبقا لتقرير الايسكور,12,,
Major customer now:Major customer n:ow:Major customer now:Major custome:r now:Major customer now:Major cust:omer now:Major customer now,8,,
العميل حاصل على بطاقه ائتمانيه بضما:ن نقدى,26,25,
العميل حاصل على بطاقه ائتمانيه حد 3:000 جم بضمان تحويل المرتب,26,25,
العميل متوفى احطار وفاه من خلال الش:كه المصريه للاستعلام الائتمانى isco:re,12,,
العميل محول شئون قانونية قروض متناه:ية الصغر فرع اسيوط,10,32,
العميل مطلوب لخدمه العملاء للتحديث::مطلوب تحديث بيانات العميل,88,,
بلوغ سن الرشد:مطلوب تحديث بيانات ال:عميل,88,8,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار مجل:س الاداره بتاريخ 082021,10,41,
تمويل عقارى  عدم السحب,1,32,
عدم السحب حساب تمويل عقارى,1,32,
عدم السحب مقدم تمويل عقارى,1,32,
عدم السحب من منتج 544العميل حاصل عل:ى قرض تمويل عقارى,1,32,
